"Code","Years_at_usual_residence","Census_usually_resident_population_count"
"000","0 years",796902
"001","1 year",312039
"002","2 years",459384
"003","3 years",308376
"004","4 years",233346
"005","5 years",211731
"006","6 years",143595
"007","7 years",126699
"008","8 years",111837
"009","9 years",88764
"010","10 years",134991
"011","11 years",79602
"012","12 years",87927
"013","13 years",64335
"014","14 years",67899
"015","15 years",73206
"016","16 years",48432
"017","17 years",52071
"018","18 years",50025
"019","19 years",28773
"020","20 years",55452
"021","21 years",23388
"022","22 years",26862
"023","23 years",22641
"024","24 years",20403
"025","25 years",28026
"026","26 years",15531
"027","27 years",16206
"028","28 years",16938
"029","29 years",12024
"030","30 years",28023
"031","31 years",8712
"032","32 years",10578
"033","33 years",8949
"034","34 years",8412
"035","35 years",11529
"036","36 years",6924
"037","37 years",8208
"038","38 years",8604
"039","39 years",5544
"040","40 years",13359
"041","41 years",4194
"042","42 years",5628
"043","43 years",5094
"044","44 years",4995
"045","45 years",6438
"046","46 years",3873
"047","47 years",3894
"048","48 years",4005
"049","49 years",2658
"050","50 years",5862
"051","51 years",2013
"052","52 years",2460
"053","53 years",2286
"054","54 years",2247
"055","55 years",2322
"056","56 years",1842
"057","57 years",1713
"058","58 years",1773
"059","59 years",1140
"060","60 years",2532
"061","61 years",867
"062","62 years",951
"063","63 years",822
"064","64 years",747
"065","65 years",924
"066","66 years",585
"067","67 years",582
"068","68 years",591
"069","69 years",447
"070","70 years",714
"071","71 years",369
"072","72 years",378
"073","73 years",306
"074","74 years",360
"075","75 years",342
"076","76 years",324
"077","77 years",363
"078","78 years",327
"079","79 years",300
"080","80 years",423
"081","81 years",258
"082","82 years",318
"083","83 years",249
"084","84 years",249
"085","85 years",228
"086","86 years",198
"087","87 years",177
"088","88 years",171
"089","89 years",156
"090","90 years",138
"091","91 years",93
"092","92 years",63
"093","93 years",51
"094","94 years",33
"095","95 years",27
"096","96 years",24
"097","97 years",15
"098","98 years or more",12
"777","Response unidentifiable",20538
"999","Not stated",762807
"TotalStated","Total stated",3916407
"Total","Total",4699755
