"Code","Years_since_arrival_in_New_Zealand","Overseas-born_census_usually_resident_population_count"
"000","Less than one year",73617
"001","1 year",74385
"002","2 years",65526
"003","3 years",57045
"004","4 years",45561
"005","5 years",42252
"006","6 years",39510
"007","7 years",36819
"008","8 years",37497
"009","9 years",46473
"010","10 years",44856
"011","11 years",41577
"012","12 years",36525
"013","13 years",32625
"014","14 years",34881
"015","15 years",42153
"016","16 years",39765
"017","17 years",30516
"018","18 years",25149
"019","19 years",18180
"020","20 years",19671
"021","21 years",22386
"022","22 years",21420
"023","23 years",16806
"024","24 years",11940
"025","25 years",9090
"026","26 years",8280
"027","27 years",9483
"028","28 years",12426
"029","29 years",11838
"030","30 years",12513
"031","31 years",11364
"032","32 years",8025
"033","33 years",6501
"034","34 years",5826
"035","35 years",6600
"036","36 years",6414
"037","37 years",6204
"038","38 years",6246
"039","39 years",4683
"040","40 years",4896
"041","41 years",4935
"042","42 years",7188
"043","43 years",12921
"044","44 years",13665
"045","45 years",10560
"046","46 years",8637
"047","47 years",7011
"048","48 years",6141
"049","49 years",4284
"050","50 years",5685
"051","51 years",7050
"052","52 years",6390
"053","53 years",6495
"054","54 years",6066
"055","55 years",5499
"056","56 years",5175
"057","57 years",4188
"058","58 years",4323
"059","59 years",4107
"060","60 years",4101
"061","61 years",3729
"062","62 years",3234
"063","63 years",2778
"064","64 years",3447
"065","65 years",4185
"066","66 years",3417
"067","67 years",2115
"068","68 years",2148
"069","69 years",1386
"070","70 years",1086
"071","71 years",915
"072","72 years",738
"073","73 years",528
"074","74 years",153
"075","75 years",84
"076","76 years",123
"077","77 years",207
"078","78 years",363
"079","79 years",255
"080","80 years",180
"081","81 years",126
"082","82 years",108
"083","83 years",96
"084","84 years",57
"085","85 years",51
"086","86 years",45
"087","87 years",78
"088","88 years",87
"089","89 years",54
"090","90 years",57
"091","91 years",84
"092","92 years",75
"093","93 years",45
"094","94 years",39
"095","95 years",27
"096","96 years",12
"097","97 years or more",42
"777","Response unidentifiable",1245
"888","Response outside scope",0
"999","Not stated",16422
"TotalStated","Total stated",1254108
"Total","Total",1271775
